sequence,fake_file,FID
K04_A015_R04,K04_A015_R04_label_14.npy,14.340696168105996
K05_A001_R01,K05_A001_R01_label_0.npy,32.59575363124327
K05_A001_R02,K05_A001_R02_label_0.npy,23.466399933393816
K05_A001_R03,K05_A001_R03_label_0.npy,25.29367807818557
K05_A001_R04,K05_A001_R04_label_0.npy,17.19102901317175
K05_A002_R01,K05_A002_R01_label_1.npy,38.213657171323
K05_A002_R02,K05_A002_R02_label_1.npy,38.752177527592906
K05_A002_R03,K05_A002_R03_label_1.npy,25.923715892378326
K05_A002_R04,K05_A002_R04_label_1.npy,48.23595826272118
K05_A003_R01,K05_A003_R01_label_2.npy,20.756803485908026
K05_A003_R02,K05_A003_R02_label_2.npy,32.59205965520013
K05_A003_R03,K05_A003_R03_label_2.npy,43.663612305934365
K05_A003_R04,K05_A003_R04_label_2.npy,12.975504387562506
K05_A004_R01,K05_A004_R01_label_3.npy,11.220762017127045
K05_A004_R02,K05_A004_R02_label_3.npy,6.571716676499751
K05_A004_R03,K05_A004_R03_label_3.npy,5.790345564969811
K05_A004_R04,K05_A004_R04_label_3.npy,12.833298149492242
K05_A005_R01,K05_A005_R01_label_4.npy,18.303683119331467
K05_A005_R02,K05_A005_R02_label_4.npy,20.24011770330282
K05_A005_R03,K05_A005_R03_label_4.npy,15.679812376169572
K05_A005_R04,K05_A005_R04_label_4.npy,38.39861824090464
K05_A006_R01,K05_A006_R01_label_5.npy,10.267101099173505
K05_A006_R02,K05_A006_R02_label_5.npy,9.711081306499445
K05_A006_R03,K05_A006_R03_label_5.npy,10.698003454602773
K05_A006_R04,K05_A006_R04_label_5.npy,22.66310572381974
K05_A007_R01,K05_A007_R01_label_6.npy,5.995695574743575
K05_A007_R02,K05_A007_R02_label_6.npy,6.237246992699835
K05_A007_R03,K05_A007_R03_label_6.npy,6.404452324195619
K05_A007_R04,K05_A007_R04_label_6.npy,5.938956971187256
K05_A008_R01,K05_A008_R01_label_7.npy,3.910360851385616
K05_A008_R02,K05_A008_R02_label_7.npy,5.079150219520518
K05_A008_R03,K05_A008_R03_label_7.npy,8.247647399041451
K05_A008_R04,K05_A008_R04_label_7.npy,5.358754767714988
K05_A009_R01,K05_A009_R01_label_8.npy,18.60553521956257
K05_A009_R02,K05_A009_R02_label_8.npy,63.986109446646424
K05_A009_R03,K05_A009_R03_label_8.npy,48.00736337156859
K05_A009_R04,K05_A009_R04_label_8.npy,49.74280497846812
K05_A010_R01,K05_A010_R01_label_9.npy,26.513645157472737
K05_A010_R02,K05_A010_R02_label_9.npy,43.430305873022455
K05_A010_R03,K05_A010_R03_label_9.npy,11.43211944760695
